Date,Service,Gare de départ,Gare d'arrivée,Durée moyenne du trajet,Nombre de circulations prévues,Nombre de trains annulés,Commentaire annulations,Nombre de trains en retard au départ,Retard moyen des trains en retard au départ,Retard moyen de tous les trains au départ,Commentaire retards au départ,Nombre de trains en retard à l'arrivée,Retard moyen des trains en retard à l'arrivée,Retard moyen de tous les trains à l'arrivée,Commentaire retards à l'arrivée,Nombre trains en retard > 15min,Retard moyen trains en retard > 15 (si liaison concurrencée par vol),Nombre trains en retard > 30min,Nombre trains en retard > 60min,Prct retard pour causes externes,Prct retard pour cause infrastructure,Prct retard pour cause gestion trafic,Prct retard pour cause matériel roulant,Prct retard pour cause gestion en gare et réutilisation de matériel,"Prct retard pour cause prise en compte voyageurs (affluence, gestions PSH, correspondances)",Date_dt,Annee,Mois
2018-01,National,BORDEAUX ST JEAN,PARIS MONTPARNASSE,141.0,870.0,5.0,,289.0,11.25,3.69,,147.0,28.44,6.51,0.0,110.0,6.51,44.0,8.0,36.13,31.09,10.92,15.97,5.04,0.84,2018-01-01,2018.0,1.0
2018-01,National,LE MANS,PARIS MONTPARNASSE,56.0,406.0,1.0,,213.0,8.48,4.57,,105.0,18.05,5.36,0.15,32.0,5.36,9.0,4.0,20.0,35.0,16.67,16.67,8.33,3.33,2018-01-01,2018.0,1.0
2018-01,National,PARIS MONTPARNASSE,LA ROCHELLE VILLE,166.0,226.0,0.0,,21.0,6.24,0.29,,19.0,24.74,2.94,0.0,11.0,2.94,6.0,1.0,22.22,27.78,16.67,16.67,5.56,11.11,2018-01-01,2018.0,1.0
2018-01,National,PARIS MONTPARNASSE,NANTES,216.21,508.0,3.0,,71.0,7.24,0.98,,58.0,33.73,5.29,0.0,39.0,5.29,18.0,0.0,33.33,22.22,16.67,20.37,5.56,1.85,2018-01-01,2018.0,1.0
2018-01,National,POITIERS,PARIS MONTPARNASSE,94.0,472.0,4.0,,224.0,6.78,3.23,,89.0,14.59,4.88,0.0,42.0,4.88,10.0,0.0,15.79,45.61,0.0,15.79,1.75,1.75,2018-01-01,2018.0,1.0
2018-01,National,ST MALO,PARIS MONTPARNASSE,158.0,92.0,0.0,,2.0,1.23,0.06,,10.0,24.98,4.82,0.0,6.0,4.76,3.0,1.0,22.22,66.67,0.0,11.11,0.0,0.0,2018-01-01,2018.0,1.0
2018-01,National,TOULOUSE MATABIAU,PARIS MONTPARNASSE,257.0,184.0,0.0,,0.0,11.22,1.19,,26.0,40.12,12.96,0.15,26.0,7.51,12.0,3.0,59.09,22.73,4.55,9.09,4.55,0.0,2018-01-01,2018.0,1.0
2018-01,National,VANNES,PARIS MONTPARNASSE,156.0,278.0,1.0,,168.0,5.12,3.13,,37.0,0.0,6.26,0.0,25.0,6.24,11.0,3.0,24.14,44.83,20.69,3.45,3.45,3.45,2018-01-01,2018.0,1.0
2018-01,National,REIMS,PARIS EST,46.0,230.0,1.0,,93.0,7.4,3.11,,62.0,12.82,3.54,0.0,20.0,3.54,3.0,0.0,17.95,41.03,20.51,5.13,0.0,15.38,2018-01-01,2018.0,1.0
2018-01,National,DOUAI,PARIS NORD,77.0,197.0,3.0,,39.0,8.03,1.8,,37.0,21.4,5.05,0.0,10.0,5.05,5.0,3.0,36.36,18.18,22.73,18.18,4.55,0.0,2018-01-01,2018.0,1.0
2018-01,National,LILLE,PARIS NORD,63.0,579.0,9.0,,164.0,8.22,2.34,,101.0,22.21,4.23,0.0,38.0,4.22,17.0,10.0,36.23,8.7,21.74,23.19,5.8,4.35,2018-01-01,2018.0,1.0
2018-01,National,LILLE,MARSEILLE ST CHARLES,307.0,190.0,4.0,,50.0,7.38,2.04,,35.0,44.12,9.94,0.0,35.0,9.94,13.0,7.0,57.14,19.05,4.76,9.52,4.76,4.76,2018-01-01,2018.0,1.0
2018-01,National,PARIS NORD,DUNKERQUE,116.0,271.0,3.0,,46.0,11.24,1.8,,29.0,28.69,3.74,0.0,18.0,3.74,9.0,4.0,35.71,28.57,7.14,25.0,3.57,0.0,2018-01-01,2018.0,1.0
2018-01,National,AIX EN PROVENCE TGV,PARIS LYON,188.0,402.0,0.0,,117.0,6.63,2.01,,37.0,35.97,4.42,0.0,37.0,4.42,19.0,7.0,42.86,22.86,8.57,22.86,0.0,2.86,2018-01-01,2018.0,1.0
2018-01,National,ANNECY,PARIS LYON,224.0,0.0,0.0,,12.0,8.07,0.49,,38.0,37.25,8.55,0.0,38.0,8.55,14.0,5.0,23.81,42.86,9.52,14.29,4.76,4.76,2018-01-01,2018.0,1.0
2018-01,National,GRENOBLE,PARIS LYON,265.2,245.0,0.0,-,247.0,8.03,1.21,,23.0,46.31,6.12,9760.0,25.0,9.47,13.0,6.0,17.65,52.94,0.0,23.53,5.88,0.0,2018-01-01,2018.0,1.0
2018-01,National,LYON PART DIEU,MARNE LA VALLEE,109.0,316.0,3.0,,221.0,10.31,7.27,,64.0,37.12,7.81,0.0,53.0,7.81,27.0,10.0,18.37,34.69,12.24,20.41,6.12,8.16,2018-01-01,2018.0,1.0
2018-01,National,MACON LOCHE,PARIS LYON,99.0,0.0,1.0,,153.0,11.78,8.03,,49.0,26.26,6.02,0.0,38.0,6.02,10.0,1.0,16.22,27.03,32.43,21.62,2.7,0.0,2018-01-01,2018.0,1.0
2018-01,National,MARSEILLE ST CHARLES,LYON PART DIEU,106.0,557.0,7.0,,133.0,6.98,0.0,,60.0,28.92,5.2,0.0,40.0,5.2,19.0,5.0,23.08,23.08,19.23,23.08,3.85,7.69,2018-01-01,2018.0,1.0
2018-01,National,MONTPELLIER,PARIS LYON,206.0,0.0,0.0,,122.0,10.99,4.07,,58.0,44.76,7.47,7801.0,58.0,7.47,31.0,11.0,22.0,38.0,12.0,22.0,2.0,4.0,2018-01-01,2018.0,1.0
2018-01,National,PARIS LYON,MARSEILLE ST CHARLES,202.0,482.0,2.0,,51.0,13.04,1.07,,43.0,41.66,5.05,1.0,43.0,5.05,20.0,8.0,41.03,30.77,12.82,15.38,0.0,0.0,2018-01-01,2018.0,1.0
2018-01,International,BARCELONA,PARIS LYON,390.0,35.0,0.0,,10.0,1.4,0.31,,7.0,57.68,9.22,0.0,7.0,9.22,3.0,3.0,14.29,14.29,14.29,57.14,0.0,0.0,2018-01-01,2018.0,1.0
2018-01,International,FRANCFORT,PARIS EST,224.0,177.0,3.0,,43.0,4.62,1.34,,26.0,25.86,6.44,0.0,25.0,6.44,6.0,0.0,30.77,15.38,23.08,15.38,7.69,7.69,2018-01-01,2018.0,1.0
